itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum,브랜드
316670,1,KOSEF 코스닥150,4750,5,-155,-3.16,4811.0,-11.542,323,1,101,KOSEF
430500,7,KOSEF 물가채KIS,99315,2,200,0.2,99597.0,-0.7013,2183,216,99,KOSEF
195920,4,TIGER 일본TOPIX(합성 H),15245,5,-280,-1.8,15407.0,-0.5446,35,0,98,TIGER
253250,3,KOSEF 200선물레버리지,10810,5,-545,-4.8,10749.0,-16.4152,46277,499,97,KOSEF
440650,6,KINDEX 미국달러단기채권액티브,10690,2,140,1.33,10669.0,,61863,659,96,KINDEX
091220,2,TIGER 은행,5770,5,-25,-0.43,5767.0,-13.9953,18664,106,96,TIGER
438570,6,SOL 국고채10년,95035,5,-865,-0.9,96066.0,,94,8,95,SOL
138920,5,KODEX 콩선물(H),13575,5,-205,-1.49,13635.0,-0.3976,738,10,95,KODEX
140950,1,파워 코스피100,21520,5,-400,-1.82,21528.0,-8.3076,349,7,95,파워
196030,4,KINDEX 일본TOPIX레버리지(H),18935,5,-265,-1.38,18896.0,-1.8907,1463,27,95,KINDEX
219900,4,KINDEX 중국본토CSI300레버리지(합성),3940,5,-60,-1.5,3995.0,-18.0328,844,3,95,KINDEX
167860,6,KOSEF 국고채10년레버리지,94020,5,-210,-0.22,94093.0,-6.6383,1816,167,94,KOSEF
368680,2,KODEX Fn K-뉴딜디지털플러스,7820,5,-140,-1.76,7802.0,-9.5969,55,0,94,KODEX
252650,1,KODEX 200동일가중,9315,5,-215,-2.26,9325.0,-8.2331,242,2,93,KODEX
139240,2,TIGER 200 철강소재,7245,5,-255,-3.4,7252.0,-4.1534,2216,16,93,TIGER
306950,3,KODEX KRX300레버리지,9255,5,-330,-3.44,9256.0,-18.3909,13520,124,93,KODEX
322410,2,HANARO 고배당,9640,5,-195,-1.98,9634.0,-5.7409,621,6,92,HANARO
434060,7,KODEX TDF2050액티브,10160,5,-80,-0.78,10201.0,,22572,227,91,KODEX
292500,1,SOL KRX300,13035,5,-285,-2.14,13133.0,-8.9854,5,0,91,SOL
101280,4,KODEX 일본TOPIX100,15195,5,-165,-1.07,15335.0,2.6394,15877,240,91,KODEX
225130,4,KINDEX 골드선물 레버리지(합성 H),12985,5,-210,-1.59,12926.0,-22.1075,6512,84,91,KINDEX
291130,4,KINDEX 멕시코MSCI(합성),11195,2,15,0.13,11311.0,2.5688,33,0,90,KINDEX
229720,1,KODEX KTOP30,14900,5,-360,-2.36,14856.0,-7.4872,1438,21,89,KODEX
352540,7,KODEX TSE일본리츠(H),12450,5,-200,-1.58,12451.0,2.0572,1307,16,87,KODEX
316300,7,KINDEX 싱가포르리츠,12410,5,-150,-1.19,12487.0,-1.0245,702,8,87,KINDEX
253230,3,KOSEF 200선물인버스2X,3835,2,175,4.78,3850.0,16.1904,268593,1028,87,KOSEF
292050,1,KBSTAR KRX300,13300,5,-300,-2.21,13334.0,-8.4484,10883,145,86,KBSTAR
