번호,제목,생산일,조회수,내용번호
2083,경로당 컴퓨터 지도강사 양성을 위한 정보화 교육생 모집 시기는?,2011-03-16,791,2896236
2082,하이서울 유스호스텔,2011-03-16,3700,2895806
2081,사회적 기업사업으로 정부에서 너무 돈을 펑펑 쓰는것 아닌가요? 이 사업이 성공 가능성이 있나요?,2011-03-14,308,2895906
2080,제2자유로(지방도357호선),2011-03-07,2689,2894483
2079,상속인 금융거래 조회,2011-03-01,1850,2895712
2078,"[신용회복위원회]신용회복지원제도,취업안내센터,소액금융지원",2011-02-07,8537,2895307
2077,혹한에 보일러 동파되면 세입자는 얼마를 부담해야 할까?,2011-01-24,2798,2895686
2076,환이랑 경이랑 함께 가꾸는 초록서울,2011-01-21,1530,2898501
2075,"주민등록증에 나온것이 맞는지, 위조는 아닌지 진위확인하는 방법이 있나요?",2011-01-20,9697,2894497
2074,[통신중계서비스] 청각 및 언어장애인과 비장애인과의 문자.통화 가능한곳,2010-12-28,1235,2895667
2073,중구 보훈회관,2010-12-28,2186,2896219
2072,부분임대아파트란?,2010-12-28,1355,2894495
2071,"부동산정보, 휴대폰으로 실시간 열람",2010-12-28,472,2897000
2070,한강 겨울철새 탐조코스,2010-12-20,1265,2896280
2069,120 웹팩스 폐지 ※ 폐지에 따른 응대 및 처리방법,2010-12-02,367,3293764
2068,고속도로 IC와 JC는 뭔가요?,2010-11-20,14698,2896292
2067,관악구 행사 「홀몸노인 안심콜서비스」신청 안내,2010-11-01,881,2897745
2066,대한민국고엽제전우회 은형구지회의 전화번호는?,2010-10-22,409,2895465
2065,대부업 최대이자율,2010-10-20,3730,2898021
2064,마포 마실영화관 운영 (구. 실버영화관),2010-10-20,1703,2897089
2063,홍보관 관람시간 및 신청방법,2010-10-12,328,2894864
2062,[교정본부] 민원서류 발급,2010-10-08,2631,2895421
2061,대리운전 (대리운전 창업 및 관련문의는 한국대리운전협회),2010-10-06,5260,2895262
2060,어린이 찾아주기 종합센터 운영,2010-09-23,778,2896504
2059,[서울시] 부동산정보 통합 열람,2010-09-18,4934,2895615
2058,"치매어르신 배회,실종 안심서비스_플로우(FLOW)",2010-09-10,2050,2896875
2057,지역별 120 콜센터 ( 타시도 지자체 콜센터 ),2010-09-07,41508,2898335
2056,발코니 부분은 모두 면적에 산입되나요?,2010-09-02,384,2897387
2055,주택의 거실 반자높이 기준은 얼마인가요?,2010-09-02,2433,2895058
2054,송파나루근린공원(석촌호수공원),2010-08-19,4461,2898295
2053,"비산업부분 온실가스 진단컨설팅 (구. 찾아가는 맞춤형 에너지 진단, 홈에너지 클리닉 서비스)",2010-08-02,1013,2898352
2052,동물 학대 신고 문의,2010-08-02,20133,2897813
2051,"소비자식품위생감시원 및 농,수산물 명예감시원",2010-07-29,1601,2898049
2050,햇살론,2010-07-26,4212,2896924
2049,(남산) 서울 중심점,2010-07-26,1628,2896349
2048,종로구 차 없는거리 현황,2010-07-23,3657,2896414
2047,7-10인승 이하 자동차 차종변경 안내문을 받았습니다.,2010-06-28,820,2897053
2046,미성년자의 법정대리인이란?,2010-06-24,29773,2897638
2045,송파구 장애인무료운전연습장,2010-06-16,2519,2898154
2044,신사어린이도서관은 어떻게 이용하나요?,2010-06-16,801,2895693
2043,재가노인복지시설과 재가장기요양기관의차이점은?,2010-06-15,7323,2898585
2042,서울시 IPTV 안내,2010-05-27,555,2896803
2041,남양주시 별내면 덕송~상계간 광역도로 (터널) 개설,2010-05-26,2480,2896164
2040,열쇠없이 문이 잠겼을 경우 급하게 어떻게 해야 하나요?,2010-05-25,2229,2894387
2039,"[경기버스] 경기 버스 서비스 이용안내 (인터넷,휴대폰, 전화, 마이버스,스마트폰)",2010-05-25,2156,2894638
2038,정신과 상담 기록에 남나요?,2010-04-27,703,2896078
2037,지장전주이설신청합니다.,2010-04-26,3970,2895517
2036,어린이보호구역 내 서행표시 (지그재그 차선),2010-04-22,12874,2895032
2035,서울시 장애인치과병원,2010-04-19,5169,2896790
2034,국내개최 국제행사지원이란 무엇인가요?,2010-04-06,426,2895350
2033,서울시 글로벌 인턴십 모집(외국인 유학생 인턴),2010-04-06,10591,2898622
2032,외국도시초청공무원연수란 무엇인가요?,2010-04-06,166,2894971
2031,"기초생활수급자 특례 (의료급여,교육급여,자활급여,북한이탈주민)",2010-04-02,13035,2897377
2030,"장애인인데, 30만원정도의 월세부담이 커서 좀더 저렴하게 주택으로 갈수 있는 방법이 있을까요?",2010-03-24,330,2896868
2029,돈암1동주민센터를 가는 방법은?,2010-03-22,1472,2895821
2028,서울시 관련 책자 중 Doing business in Seoul (두잉 비지니스 인 서울),2010-03-21,222,2895138
2027,과태료 자진납부제도가 무엇인가요?,2010-03-19,1540,2896862
2026,교회에 식품자동판매기 설치시 영업신고 여부,2010-03-18,717,2895797
2025,시) 서울에서 헬리콥터 렌트 할 수있는 곳이 있는지?,2010-03-18,2671,2894389
2024,택시 내 지정부착물 이란?,2010-03-17,1759,2898286
2023,길음3동은 언제 길음2동으로 명칭이 변경되었나요?,2010-03-17,358,2895464
2022,하월곡동 88번지는 어느 동에서 행정업무를 처리하고 있나요?,2010-03-17,804,2895463
2021,조합의 구성 및 임원의 직무는?,2010-03-15,1922,2895910
2020,조합설립인가 신청서류 등의 작성 방법(조례 제14조)은?,2010-03-15,1226,2895952
2019,주거환경개선구역이란?,2010-03-15,963,2895953
2018,토지등소유자란?,2010-03-15,7981,2895954
2017,서울특별시 도시 및 주거환경 정비조례의 내용은?,2010-03-15,2171,2895951
2016,주택법의 주요내용?,2010-03-15,530,2895911
2015,도시 및 주거환경정비법의 주요내용?,2010-03-15,1944,2895950
2014,"온라인으로 자격증 발급 신청시 사진과 함께 신분증 이미지도 함께 제출하도록 되어 있는 데, 제출이 가능한 신분증의 종류는 어떤것이 있나요?",2010-03-12,1444,2895575
